Id,R,Nome,Squadra,Qt. Attuale,Qt. Iniziale,Diff.
2130,D,HATEBOER,Atalanta,16,16,0
392,D,KOULIBALY,Napoli,16,16,0
226,D,IZZO,Torino,16,16,0
2160,D,GOSENS,Atalanta,15,15,0
798,D,SKRINIAR,Inter,15,15,0
2214,D,KOLAROV,Roma,15,15,0
2288,D,N'KOULOU,Torino,15,15,0
2197,D,CASTAGNE,Atalanta,14,14,0
2572,D,GODIN,Inter,14,14,0
662,D,ALEX SANDRO,Juventus,14,14,0
288,D,CHIELLINI,Juventus,14,14,0
4428,D,DE LIGT,Juventus,14,14,0
513,D,ACERBI,Lazio,14,14,0
460,D,ROMAGNOLI A,Milan,14,14,0
2296,D,MANCINI G,Roma,14,14,0
2759,D,CRISCITO,Genoa,13,13,0
322,D,DE VRIJ,Inter,13,13,0
459,D,MANOLAS,Napoli,13,13,0
390,D,GHOULAM,Napoli,12,12,0
286,D,BONUCCI,Juventus,11,11,0
2816,D,DI LORENZO,Napoli,11,11,0
2006,D,LIROLA,Fiorentina,11,11,0
4237,D,DANILO,Juventus,11,11,0
695,D,TOLOI,Atalanta,10,10,0
252,D,BIRAGHI,Fiorentina,10,10,0
2309,D,PEZZELLA GER,Fiorentina,10,10,0
295,D,ASAMOAH,Inter,10,10,0
464,D,FLORENZI,Roma,10,10,0
487,D,DE SILVESTRI,Torino,10,10,0
2181,D,PALOMINO,Atalanta,9,9,0
2164,D,MILENKOVIC,Fiorentina,9,9,0
4307,D,ROMERO C,Genoa,9,9,0
253,D,D'AMBROSIO,Inter,9,9,0
4397,D,VAVRO,Lazio,9,9,0
357,D,CALABRIA,Milan,9,9,0
1864,D,BRUNO ALVES,Parma,9,9,0
2016,D,FAZIO,Roma,9,9,0
259,D,MURILLO,Sampdoria,9,9,0
1895,D,FERRARI G,Sassuolo,9,9,0
4511,D,DUARTE,Milan,9,9,0
787,D,DJIMSITI,Atalanta,8,8,0
578,D,DANILO LAR,Bologna,8,8,0
2746,D,DIJKS,Bologna,8,8,0
2083,D,BIRASCHI,Genoa,8,8,0
365,D,ZAPATA C,Genoa,8,8,0
4332,D,DEMIRAL,Juventus,8,8,0
4292,D,HERNANDEZ T,Milan,8,8,0
2169,D,RODRIGUEZ R,Milan,8,8,0
2860,D,MALCUIT,Napoli,8,8,0
1868,D,MURRU,Sampdoria,8,8,0
2865,D,AINA,Torino,8,8,0
2192,D,BONIFAZI,Torino,8,8,0
2171,D,LYANCO,Torino,8,8,0
4516,D,SKRTEL,Atalanta,8,8,0
15,D,MASIELLO A,Atalanta,7,7,0
4414,D,DENSWIL,Bologna,7,7,0
4442,D,CISTANA,Brescia,7,7,0
99,D,CACCIATORE,Cagliari,7,7,0
1866,D,CEPPITELLI,Cagliari,7,7,0
294,D,RUGANI,Juventus,7,7,0
2335,D,LUIZ FELIPE,Lazio,7,7,0
329,D,RADU,Lazio,7,7,0
2168,D,MUSACCHIO,Milan,7,7,0
140,D,HYSAJ,Napoli,7,7,0
73,D,GAGLIOLO,Parma,7,7,0
141,D,LAURINI,Parma,7,7,0
1852,D,SPINAZZOLA,Roma,7,7,0
2784,D,COLLEY,Sampdoria,7,7,0
2318,D,ROGERIO,Sassuolo,7,7,0
4426,D,TOLJAN,Sassuolo,7,7,0
780,D,CIONEK,SPAL,7,7,0
4407,D,IGOR,SPAL,7,7,0
2261,D,VICARI,SPAL,7,7,0
2869,D,DJIDJI,Torino,7,7,0
4412,D,RODRIGO BECAO,Udinese,7,7,0
790,D,SAMIR,Udinese,7,7,0
2315,D,STRYGER LARSEN,Udinese,7,7,0
4420,D,BOCCHETTI,Verona,7,7,0
1896,D,MARTELLA,Brescia,6,6,0
791,D,SABELLI,Brescia,6,6,0
2871,D,KLAVAN,Cagliari,6,6,0
1979,D,BARRECA,Genoa,6,6,0
2728,D,PELLEGRINI LU,Juventus,6,6,0
2062,D,BASTOS,Lazio,6,6,0
4398,D,BENZAR,Lecce,6,6,0
4470,D,CALDERONI,Lecce,6,6,0
