Id,R,Nome,Squadra,Qt. Attuale,Qt. Iniziale,Diff.
2610,A,CRISTIANO RONALDO,Juventus,46,46,0
2756,A,PIATEK,Milan,38,38,0
608,A,ZAPATA D,Atalanta,36,36,0
2531,A,LUKAKU R,Inter,35,35,0
785,A,IMMOBILE,Lazio,34,34,0
568,A,QUAGLIARELLA,Sampdoria,34,34,0
277,A,ICARDI,Inter,31,31,0
647,A,DZEKO,Roma,30,30,0
441,A,BELOTTI,Torino,30,30,0
408,A,HIGUAIN,Juventus,29,29,0
410,A,MERTENS,Napoli,28,28,0
2012,A,MILIK,Napoli,28,28,0
409,A,INSIGNE,Napoli,27,27,0
247,A,PAVOLETTI,Cagliari,26,26,0
2764,A,MARTINEZ L,Inter,26,26,0
309,A,DYBALA,Juventus,26,26,0
2819,A,CAPUTO,Sassuolo,26,26,0
177,A,ILICIC,Atalanta,25,25,0
383,A,PETAGNA,SPAL,25,25,0
123,A,INGLESE,Parma,23,23,0
312,A,MANDZUKIC,Juventus,22,22,0
4510,A,RAFAEL LEAO,Milan,22,22,0
475,A,IAGO FALQUE,Torino,21,21,0
2038,A,PINAMONTI,Genoa,20,20,0
495,A,CORREA,Lazio,20,20,0
472,A,DESTRO,Bologna,19,19,0
474,A,GERVINHO,Parma,19,19,0
531,A,BERARDI,Sassuolo,18,18,0
507,A,MURIEL,Atalanta,17,17,0
2167,A,ORSOLINI,Bologna,17,17,0
4452,A,DONNARUMMA AL,Brescia,16,16,0
1874,A,JOAO PEDRO,Cagliari,16,16,0
2762,A,KOUAME',Genoa,16,16,0
90,A,LASAGNA,Udinese,16,16,0
2175,A,ANDRE' SILVA,Milan,15,15,0
771,A,BOATENG,Fiorentina,15,15,0
2061,A,SIMEONE,Fiorentina,14,14,0
2284,A,CAICEDO,Lazio,14,14,0
1939,A,LAPADULA,Lecce,14,14,0
643,A,DEFREL,Roma,14,14,0
1958,A,CAPRARI,Sampdoria,14,14,0
183,A,BABACAR,Sassuolo,14,14,0
280,A,PALACIO,Bologna,13,13,0
4453,A,TORREGROSSA,Brescia,13,13,0
407,A,GABBIADINI,Sampdoria,13,13,0
4500,A,DI CARMINE,Verona,13,13,0
537,A,SANSONE N,Bologna,12,12,0
2743,A,SANTANDER,Bologna,12,12,0
536,A,POLITANO,Inter,12,12,0
2325,A,KARAMOH,Parma,12,12,0
1974,A,SCHICK,Roma,12,12,0
2832,A,BOGA,Sassuolo,12,12,0
315,A,ZAZA,Torino,12,12,0
1879,A,FARIAS,Cagliari,11,11,0
2826,A,PUSSETTO,Udinese,11,11,0
245,A,PANDEV,Genoa,10,10,0
479,A,SANABRIA,Genoa,10,10,0
1943,A,NESTOROVSKI,Udinese,10,10,0
636,A,PAZZINI,Verona,10,10,0
2719,A,BARROW,Atalanta,9,9,0
4477,A,LA MANTIA,Lecce,9,9,0
2163,A,CORNELIUS,Parma,9,9,0
126,A,PALOSCHI,SPAL,9,9,0
4415,A,SKOV OLSEN,Bologna,8,8,0
4388,A,ADEKANYE,Lazio,8,8,0
2195,A,OUNAS,Napoli,8,8,0
637,A,SILIGARDI,Parma,8,8,0
2873,A,TEODORCZYK,Udinese,8,8,0
4413,A,AYE',Brescia,7,7,0
533,A,FLOCCARI,SPAL,7,7,0
532,A,FALCINELLI,Bologna,6,6,0
4381,A,GUMUS,Genoa,6,6,0
2773,A,SPROCATI,Parma,6,6,0
4430,A,CRISTO GONZALEZ,Udinese,6,6,0
306,A,CERRI,Cagliari,5,5,0
819,A,FAVILLI,Genoa,5,5,0
658,A,FALCO,Lecce,5,5,0
2853,A,MONCINI,SPAL,5,5,0
2324,A,LEE,Verona,5,5,0
2146,A,HAN,Cagliari,4,4,0
2841,A,VLAHOVIC,Fiorentina,4,4,0
1998,A,PJACA,Juventus,4,4,0
505,A,BONAZZOLI,Sampdoria,4,4,0
380,A,MATRI,Sassuolo,4,4,0
1839,A,EDERA,Torino,4,4,0
4333,A,DESPODOV,Cagliari,3,3,0
2839,A,SOTTIL,Fiorentina,3,3,0
2246,A,CERAVOLO,Parma,3,3,0
2317,A,BRIGNOLA,Sassuolo,3,3,0
92,A,MATOS,Udinese,3,3,0
605,A,PERICA,Udinese,3,3,0
2073,A,RAGUSA,Verona,3,3,0
4455,A,RAGATZU,Cagliari,2,2,0
2048,A,LO FASO,Lecce,2,2,0
2657,A,ANTONUCCI,Roma,2,2,0
4436,A,CAMBIAGHI,Atalanta,1,1,0
4359,A,PICCOLI,Atalanta,1,1,0
4368,A,JUWARA,Bologna,1,1,0
606,A,THEREAU,Fiorentina,1,1,0
2844,A,COLIDIO,Inter,1,1,0
4463,A,ESPOSITO SE,Inter,1,1,0
4464,A,MEROLA,Inter,1,1,0
2304,A,SALCEDO E,Inter,1,1,0
4507,A,TUTINO,Verona,1,1,0
4387,A,ADORANTE,Parma,1,1,0
2805,A,BARAYE,Parma,1,1,0
4483,A,CANGIANO,Bologna,1,1,0
4508,A,BAHLOULI,Sampdoria,1,1,0
4371,A,RASPADORI,Sassuolo,1,1,0
4346,A,MILLICO,Torino,1,1,0
4489,A,RAUTI,Torino,1,1,0
2794,A,MICIN,Udinese,1,1,0
767,A,TUPTA,Verona,1,1,0
