Id,R,Nome,Squadra,Qt. Attuale,Qt. Iniziale,Diff.
250,P,HANDANOVIC,Inter,18,18,0
453,P,SZCZESNY,Juventus,17,17,0
350,P,DONNARUMMA G,Milan,15,15,0
572,P,MERET,Napoli,15,15,0
610,P,GOLLINI,Atalanta,14,14,0
4419,P,PAU LOPEZ,Roma,14,14,0
2179,P,SIRIGU,Torino,14,14,0
1934,P,STRAKOSHA,Lazio,13,13,0
2178,P,CRAGNO,Cagliari,11,11,0
1917,P,DRAGOWSKI,Fiorentina,11,11,0
761,P,AUDERO,Sampdoria,11,11,0
509,P,CONSIGLI,Sassuolo,10,10,0
133,P,SKORUPSKI,Bologna,9,9,0
2792,P,MUSSO,Udinese,9,9,0
1843,P,RADU I,Genoa,8,8,0
159,P,SEPE,Parma,8,8,0
316,P,BERISHA E,SPAL,8,8,0
4425,P,JORONEN,Brescia,6,6,0
385,P,GABRIEL,Lecce,6,6,0
2211,P,SILVESTRI,Verona,6,6,0
282,P,BUFFON,Juventus,4,4,0
2468,P,OSPINA,Napoli,3,3,0
2297,P,ROSSI F,Atalanta,1,1,0
4,P,SPORTIELLO,Atalanta,1,1,0
40,P,DA COSTA,Bologna,1,1,0
42,P,SARR M,Bologna,1,1,0
4440,P,ALFONSO,Brescia,1,1,0
4441,P,ANDRENACCI,Brescia,1,1,0
1946,P,ARESTI,Cagliari,1,1,0
611,P,RAFAEL,Cagliari,1,1,0
4351,P,BRANCOLINI,Fiorentina,1,1,0
2294,P,CEROFOLINI,Fiorentina,1,1,0
4325,P,JANDREI,Genoa,1,1,0
318,P,MARCHETTI,Genoa,1,1,0
2761,P,VODISEK,Genoa,1,1,0
248,P,BERNI,Inter,1,1,0
543,P,PADELLI,Inter,1,1,0
218,P,PERIN,Juventus,1,1,0
1930,P,PINSOGLIO,Juventus,1,1,0
317,P,GUERRIERI,Lazio,1,1,0
2770,P,PROTO,Lazio,1,1,0
4468,P,BLEVE,Lecce,1,1,0
4469,P,MILLI,Lecce,1,1,0
2809,P,VIGORITO,Lecce,1,1,0
216,P,DONNARUMMA AN,Milan,1,1,0
387,P,REINA,Milan,1,1,0
570,P,KARNEZIS,Napoli,1,1,0
412,P,COLOMBI,Parma,1,1,0
41,P,MIRANTE,Roma,1,1,0
2836,P,OLSEN,Roma,1,1,0
510,P,PEGOLO,Sassuolo,1,1,0
540,P,GOMIS A,SPAL,1,1,0
4485,P,THIAM D,SPAL,1,1,0
2096,P,CUCCHIETTI,Torino,1,1,0
2790,P,ROSATI,Torino,1,1,0
2270,P,ZACCAGNO,Torino,1,1,0
2271,P,NICOLAS,Udinese,1,1,0
673,P,PERISAN,Udinese,1,1,0
574,P,SCUFFET,Udinese,1,1,0
4491,P,BERARDI A,Verona,1,1,0
4410,P,BORGHETTO,Verona,1,1,0
3,P,RADUNOVIC,Verona,1,1,0
