Id,R,Nome,Squadra,Qt. Attuale,Qt. Iniziale,Diff.
26,C,GOMEZ A,Atalanta,26,26,0
2002,C,CHIESA,Fiorentina,26,26,0
645,C,MILINKOVIC-SAVIC,Lazio,23,23,0
1996,C,DE PAUL,Udinese,22,22,0
2085,C,LUIS ALBERTO,Lazio,20,20,0
184,C,BERNARDESCHI,Juventus,19,19,0
375,C,SUSO,Milan,19,19,0
2472,C,RAMSEY,Juventus,18,18,0
406,C,CALLEJON,Napoli,18,18,0
2201,C,UNDER,Roma,18,18,0
2775,C,RUIZ,Napoli,17,17,0
376,C,VERDI,Napoli,17,17,0
152,C,ZIELINSKI,Napoli,17,17,0
467,C,NAINGGOLAN,Cagliari,16,16,0
469,C,PJANIC,Juventus,16,16,0
367,C,BONAVENTURA,Milan,16,16,0
2779,C,KLUIVERT,Roma,16,16,0
2766,C,ZANIOLO,Roma,16,16,0
28,C,KURTIC,SPAL,16,16,0
557,C,BENASSI,Fiorentina,15,15,0
1870,C,BARELLA,Inter,15,15,0
2263,C,LAZZARI M,Lazio,15,15,0
4322,C,PAQUETA',Milan,15,15,0
2625,C,SORIANO,Bologna,14,14,0
2504,C,CAN ,Juventus,14,14,0
2200,C,DOUGLAS COSTA,Juventus,14,14,0
2379,C,RABIOT,Juventus,14,14,0
342,C,PAROLO,Lazio,14,14,0
397,C,ALLAN,Napoli,14,14,0
237,C,PEROTTI,Roma,14,14,0
2215,C,VERETOUT,Roma,14,14,0
788,C,FREULER,Atalanta,13,13,0
112,C,CASTRO,Cagliari,13,13,0
1978,C,SENSI,Inter,13,13,0
2194,C,CALHANOGLU,Milan,13,13,0
1850,C,KESSIE',Milan,13,13,0
148,C,KRUNIC,Milan,13,13,0
530,C,PELLEGRINI LO,Roma,13,13,0
706,C,ANSALDI,Torino,13,13,0
644,C,PULGAR,Fiorentina,12,12,0
2306,C,MATUIDI,Juventus,12,12,0
338,C,LULIC,Lazio,12,12,0
234,C,KUCKA,Parma,12,12,0
22,C,DE ROON,Atalanta,11,11,0
4427,C,MALINOVSKYI,Atalanta,11,11,0
265,C,BROZOVIC,Inter,11,11,0
2378,C,PASTORE,Roma,11,11,0
2008,C,LINETTY,Sampdoria,11,11,0
827,C,LOCATELLI M,Sassuolo,11,11,0
2857,C,TRAORE' HJ,Sassuolo,11,11,0
1857,C,DI FRANCESCO F,SPAL,11,11,0
2172,C,BARAK,Udinese,11,11,0
1986,C,FOFANA,Udinese,11,11,0
4512,C,SCHONE,Genoa,11,11,0
2076,C,ROG,Cagliari,10,10,0
150,C,SAPONARA,Genoa,10,10,0
299,C,KHEDIRA,Juventus,10,10,0
2818,C,BENNACER,Milan,10,10,0
2692,C,CASTILLEJO,Milan,10,10,0
779,C,CRISTANTE,Roma,10,10,0
2287,C,RAMIREZ,Sampdoria,10,10,0
526,C,DUNCAN,Sassuolo,10,10,0
4501,C,OBIANG,Sassuolo,10,10,0
556,C,BASELLI,Torino,10,10,0
4514,C,NANDEZ,Cagliari,10,10,0
2077,C,PASALIC,Atalanta,9,9,0
374,C,POLI,Bologna,9,9,0
4445,C,BISOLI,Brescia,9,9,0
697,C,CUADRADO,Juventus,9,9,0
2209,C,LUCAS LEIVA,Lazio,9,9,0
1987,C,JANKTO,Sampdoria,9,9,0
2789,C,MEITE',Torino,9,9,0
264,C,BESSA,Verona,9,9,0
632,C,ZACCAGNI,Verona,9,9,0
713,C,DZEMAILI,Bologna,8,8,0
2106,C,MOROSINI,Brescia,8,8,0
4448,C,SPALEK,Brescia,8,8,0
627,C,IONITA,Cagliari,8,8,0
801,C,GAGLIARDINI,Inter,8,8,0
4385,C,LAZARO,Inter,8,8,0
181,C,VECINO,Inter,8,8,0
2166,C,BENTANCUR,Juventus,8,8,0
65,C,MANCOSU,Lecce,8,8,0
331,C,BIGLIA,Milan,8,8,0
2776,C,YOUNES,Napoli,8,8,0
2802,C,BARILLA',Parma,8,8,0
27,C,GRASSI,Parma,8,8,0
58,C,DIAWARA,Roma,8,8,0
2205,C,BERENGUER,Torino,8,8,0
238,C,RINCON,Torino,8,8,0
1933,C,MANDRAGORA,Udinese,8,8,0
4447,C,NDOJ,Brescia,7,7,0
111,C,BIRSA,Cagliari,7,7,0
4377,C,CASTROVILLI,Fiorentina,7,7,0
621,C,ROMULO,Genoa,7,7,0
332,C,CANDREVA,Inter,7,7,0
4479,C,ELMAS,Napoli,7,7,0
2617,C,NZONZI,Roma,7,7,0
2391,C,EKDAL,Sampdoria,7,7,0
4405,C,MARONI,Sampdoria,7,7,0
21,C,D'ALESSANDRO,SPAL,7,7,0
633,C,FARES,SPAL,7,7,0
2003,C,MURGIA,SPAL,7,7,0
4513,C,ZMRHAL,Brescia,7,7,0
236,C,LAZOVIC,Verona,7,7,0
2392,C,WALACE,Udinese,7,7,0
4449,C,TONALI,Brescia,6,6,0
20,C,CIGARINI,Cagliari,6,6,0
4376,C,ZURKOWSKI,Fiorentina,6,6,0
4330,C,LERAGER,Genoa,6,6,0
118,C,RADOVANOVIC,Genoa,6,6,0
305,C,STURARO,Genoa,6,6,0
170,C,BADELJ,Fiorentina,6,6,0
4424,C,JONY,Lazio,6,6,0
179,C,PETRICCIONE,Lecce,6,6,0
4423,C,HERNANI,Parma,6,6,0
600,C,VERRE,Verona,6,6,0
2825,C,BOURABIA,Sassuolo,6,6,0
529,C,MISSIROLI,SPAL,6,6,0
2274,C,VALOTI,SPAL,6,6,0
589,C,BADU,Verona,6,6,0
2742,C,VALZANIA,Atalanta,5,5,0
669,C,DONSAH,Bologna,5,5,0
433,C,HILJEMARK,Genoa,5,5,0
4384,C,JAGIELLO,Genoa,5,5,0
2771,C,BERISHA V,Lazio,5,5,0
333,C,CATALDI,Lazio,5,5,0
2188,C,MARUSIC,Lazio,5,5,0
4475,C,MAJER,Lecce,5,5,0
4400,C,SHAKHOV,Lecce,5,5,0
241,C,TACHTSIDIS,Lecce,5,5,0
2187,C,BORINI,Milan,5,5,0
235,C,LAXALT,Milan,5,5,0
494,C,BARRETO,Sampdoria,5,5,0
4404,C,THORSBY,Sampdoria,5,5,0
1995,C,DJURICIC,Sassuolo,5,5,0
528,C,MAGNANELLI,Sassuolo,5,5,0
2009,C,LUKIC,Torino,5,5,0
813,C,BALIC,Udinese,5,5,0
2011,C,MIGUEL VELOSO,Verona,5,5,0
430,C,BRUGMAN,Parma,5,5,0
4393,C,SCHOUTEN,Bologna,4,4,0
1872,C,DESSENA,Brescia,4,4,0
2854,C,BRADARIC,Cagliari,4,4,0
2116,C,FARAGO',Cagliari,4,4,0
2290,C,EYSSERIC,Fiorentina,4,4,0
2078,C,JOAO MARIO,Inter,4,4,0
2833,C,KULUSEVSKI,Parma,4,4,0
2804,C,SCOZZARELLA,Parma,4,4,0
2780,C,CORIC,Roma,4,4,0
2193,C,GONALONS,Roma,4,4,0
2855,C,VIEIRA,Sampdoria,4,4,0
631,C,VIVIANI,SPAL,4,4,0
434,C,JAJALO,Udinese,4,4,0
81,C,DI GAUDIO,Verona,4,4,0
4498,C,HENDERSON L,Verona,4,4,0
4515,C,AGUDELO,Genoa,4,4,0
2741,C,PESSINA,Atalanta,3,3,0
1858,C,KREJCI,Bologna,3,3,0
2744,C,SVANBERG,Bologna,3,3,0
4327,C,OLIVA,Cagliari,3,3,0
2075,C,CRISTOFORO,Fiorentina,3,3,0
2659,C,DABO,Fiorentina,3,3,0
172,C,BORJA VALERO,Inter,3,3,0
4474,C,HAYE,Lecce,3,3,0
4476,C,TABANELLI,Lecce,3,3,0
438,C,RIGONI L,Parma,3,3,0
173,C,CAPEZZI,Sampdoria,3,3,0
4338,C,JANKOVIC,SPAL,3,3,0
405,C,VALDIFIORI,SPAL,3,3,0
2057,C,GUSTAFSON,Torino,3,3,0
2835,C,KINGSLEY,Bologna,2,2,0
1871,C,DEIOLA,Cagliari,2,2,0
2213,C,CASSATA,Genoa,2,2,0
2646,C,SANDRO,Genoa,2,2,0
4389,C,ANDERSON A,Lazio,2,2,0
1976,C,MAZZITELLI,Sassuolo,2,2,0
1982,C,PARIGINI,Torino,2,2,0
2726,C,DANZI,Verona,2,2,0
4435,C,COLLEY E,Atalanta,1,1,0
2210,C,FALLETTI,Bologna,1,1,0
4450,C,TREMOLADA,Brescia,1,1,0
4451,C,VIVIANI M,Brescia,1,1,0
2828,C,COLOMBATTO,Cagliari,1,1,0
4362,C,BELOKO,Fiorentina,1,1,0
4353,C,MONTIEL,Fiorentina,1,1,0
4459,C,ROVELLA,Genoa,1,1,0
4460,C,SCHAFER,Genoa,1,1,0
4383,C,ZENNARO,Genoa,1,1,0
4411,C,AGOUME,Inter,1,1,0
4465,C,FAGIOLI,Juventus,1,1,0
4349,C,NICOLUSSI CAVIGLIA,Juventus,1,1,0
4370,C,PORTANOVA,Juventus,1,1,0
2243,C,CICIRETTI,Napoli,1,1,0
4364,C,GAETANO,Napoli,1,1,0
666,C,MACHIN,Parma,1,1,0
2852,C,RICCARDI,Roma,1,1,0
4486,C,STREFEZZA,SPAL,1,1,0
4490,C,DE ANGELIS,Torino,1,1,0
2144,C,COULIBALY,Udinese,1,1,0
2191,C,INGELSSON,Udinese,1,1,0
4499,C,LUCAS FELIPPE,Verona,1,1,0
